report_date,category,revenue
31/03/2022,Blouse,280.00
31/03/2022,Bottom,0.00
31/03/2022,Dupatta,0.00
31/03/2022,Ethnic Dress,0.00
31/03/2022,Saree,0.00
31/03/2022,Set,50905.00
31/03/2022,Top,4511.00
31/03/2022,Western Dress,5479.00
31/03/2022,kurta,33008.00
01/04/2022,Blouse,6225.00
01/04/2022,Bottom,878.00
01/04/2022,Dupatta,0.00
01/04/2022,Ethnic Dress,11466.00
01/04/2022,Saree,0.00
01/04/2022,Set,467050.00
01/04/2022,Top,64052.00
01/04/2022,Western Dress,74235.00
01/04/2022,kurta,237277.00
02/04/2022,Blouse,9603.00
02/04/2022,Bottom,1693.00
02/04/2022,Dupatta,0.00
02/04/2022,Ethnic Dress,14537.00
02/04/2022,Saree,648.00
02/04/2022,Set,921369.00
02/04/2022,Top,114020.00
02/04/2022,Western Dress,145045.00
02/04/2022,kurta,458723.00
03/04/2022,Blouse,15490.00
03/04/2022,Bottom,1934.00
03/04/2022,Dupatta,0.00
03/04/2022,Ethnic Dress,18380.00
03/04/2022,Saree,4964.00
03/04/2022,Set,1402074.00
03/04/2022,Top,177221.00
03/04/2022,Western Dress,203269.00
03/04/2022,kurta,659640.00
04/04/2022,Blouse,13845.00
04/04/2022,Bottom,2034.00
04/04/2022,Dupatta,0.00
04/04/2022,Ethnic Dress,15111.00
04/04/2022,Saree,4964.00
04/04/2022,Set,1428769.00
04/04/2022,Top,180052.00
04/04/2022,Western Dress,203223.00
04/04/2022,kurta,670639.00
05/04/2022,Blouse,13215.00
05/04/2022,Bottom,3562.00
05/04/2022,Dupatta,0.00
05/04/2022,Ethnic Dress,17677.00
05/04/2022,Saree,4316.00
05/04/2022,Set,1462566.00
05/04/2022,Top,187351.00
05/04/2022,Western Dress,189365.00
05/04/2022,kurta,696731.00
06/04/2022,Blouse,12041.00
06/04/2022,Bottom,4368.00
06/04/2022,Dupatta,0.00
06/04/2022,Ethnic Dress,21262.00
06/04/2022,Saree,899.00
06/04/2022,Set,1313207.00
06/04/2022,Top,168226.00
06/04/2022,Western Dress,212053.00
06/04/2022,kurta,727536.00
07/04/2022,Blouse,18340.00
07/04/2022,Bottom,5776.00
07/04/2022,Dupatta,0.00
07/04/2022,Ethnic Dress,19329.00
07/04/2022,Saree,2901.00
07/04/2022,Set,1313633.00
07/04/2022,Top,150232.00
07/04/2022,Western Dress,222361.00
07/04/2022,kurta,728507.00
08/04/2022,Blouse,21284.00
08/04/2022,Bottom,6177.00
08/04/2022,Dupatta,0.00
08/04/2022,Ethnic Dress,20444.00
08/04/2022,Saree,5380.00
08/04/2022,Set,1292498.00
08/04/2022,Top,152940.00
08/04/2022,Western Dress,319372.00
08/04/2022,kurta,689897.00
09/04/2022,Blouse,21143.00
09/04/2022,Bottom,6786.00
09/04/2022,Dupatta,0.00
09/04/2022,Ethnic Dress,22852.00
09/04/2022,Saree,5948.00
09/04/2022,Set,1360938.00
09/04/2022,Top,166933.00
09/04/2022,Western Dress,357739.00
09/04/2022,kurta,628186.00
10/04/2022,Top,177949.00
10/04/2022,Western Dress,387304.00
