report_date,sku,total_quantity
04-04-2022,Blouse,36
11-04-2022,Blouse,72
18-04-2022,Blouse,88
25-04-2022,Blouse,108
02-05-2022,Blouse,92
09-05-2022,Blouse,62
16-05-2022,Blouse,75
23-05-2022,Blouse,58
30-05-2022,Blouse,58
06-06-2022,Blouse,44
13-06-2022,Blouse,40
20-06-2022,Blouse,49
27-06-2022,Blouse,33
04-04-2022,Bottom,5
11-04-2022,Bottom,43
18-04-2022,Bottom,23
25-04-2022,Bottom,57
02-05-2022,Bottom,37
09-05-2022,Bottom,21
16-05-2022,Bottom,28
23-05-2022,Bottom,32
30-05-2022,Bottom,33
06-06-2022,Bottom,13
13-06-2022,Bottom,16
20-06-2022,Bottom,23
27-06-2022,Bottom,44
27-06-2022,Dupatta,3
04-04-2022,Ethnic Dress,21
11-04-2022,Ethnic Dress,72
18-04-2022,Ethnic Dress,83
25-04-2022,Ethnic Dress,82
02-05-2022,Ethnic Dress,50
09-05-2022,Ethnic Dress,91
16-05-2022,Ethnic Dress,90
23-05-2022,Ethnic Dress,86
30-05-2022,Ethnic Dress,91
06-06-2022,Ethnic Dress,115
13-06-2022,Ethnic Dress,85
20-06-2022,Ethnic Dress,73
27-06-2022,Ethnic Dress,57
04-04-2022,Saree,7
11-04-2022,Saree,10
18-04-2022,Saree,16
25-04-2022,Saree,18
02-05-2022,Saree,15
09-05-2022,Saree,17
16-05-2022,Saree,14
23-05-2022,Saree,8
30-05-2022,Saree,11
06-06-2022,Saree,11
13-06-2022,Saree,6
20-06-2022,Saree,7
27-06-2022,Saree,5
04-04-2022,Set,1821
11-04-2022,Set,3972
18-04-2022,Set,4077
25-04-2022,Set,4224
02-05-2022,Set,3876
09-05-2022,Set,4209
16-05-2022,Set,2755
23-05-2022,Set,2610
30-05-2022,Set,2659
06-06-2022,Set,3026
13-06-2022,Set,3222
20-06-2022,Set,2951
27-06-2022,Set,2602
04-04-2022,Top,395
11-04-2022,Top,834
18-04-2022,Top,753
25-04-2022,Top,799
02-05-2022,Top,821
09-05-2022,Top,842
16-05-2022,Top,706
23-05-2022,Top,775
30-05-2022,Top,883
06-06-2022,Top,686
13-06-2022,Top,620
20-06-2022,Top,584
27-06-2022,Top,467
04-04-2022,Western Dress,263
11-04-2022,Western Dress,932
18-04-2022,Western Dress,862
25-04-2022,Western Dress,882
02-05-2022,Western Dress,845
09-05-2022,Western Dress,1038
16-05-2022,Western Dress,1043
23-05-2022,Western Dress,1269
30-05-2022,Western Dress,1282
06-06-2022,Western Dress,1328
13-06-2022,Western Dress,1285
20-06-2022,Western Dress,962
27-06-2022,Western Dress,986
04-04-2022,kurta,1596
11-04-2022,kurta,3795
18-04-2022,kurta,4046
25-04-2022,kurta,4297
02-05-2022,kurta,3796
09-05-2022,kurta,3958
16-05-2022,kurta,2568
23-05-2022,kurta,2306
30-05-2022,kurta,2704
06-06-2022,kurta,3293
13-06-2022,kurta,3725
20-06-2022,kurta,2919
27-06-2022,kurta,2797
