shape_1,shape_2
0,41
0,143
0,198
0,430
0,473
0,490
0,496
0,605
0,637
0,729
0,818
1,118
1,160
1,186
1,220
1,247
1,256
1,377
1,444
1,809
1,903
1,909
2,72
2,91
2,128
2,135
2,233
2,235
2,313
2,346
2,381
2,404
2,407
2,431
2,441
2,604
2,619
2,698
2,747
2,783
2,812
2,884
3,41
3,52
3,79
3,112
3,143
3,194
3,272
3,379
3,446
3,520
3,551
3,584
3,820
3,892
3,906
3,942
4,69
4,74
4,153
4,339
4,378
4,385
4,387
4,389
4,452
4,527
4,546
4,711
4,750
4,825
4,920
5,105
5,111
5,124
5,192
5,195
5,302
5,393
5,480
5,600
5,728
5,785
5,871
5,938
5,991
6,136
6,214
6,254
6,401
6,449
6,488
6,537
6,545
6,712
6,833
6,852
6,901
6,934
6,964
6,973
7,56
7,156
7,205
7,280
7,433
7,495
7,511
7,529
7,663
7,754
7,868
7,925
7,961
8,27
8,67
8,108
8,295
8,602
8,678
8,699
8,816
8,971
8,985
9,20
9,101
9,397
9,398
9,639
9,650
9,666
9,704
9,745
9,912
10,113
10,184
10,221
10,333
10,384
10,512
10,577
10,668
10,761
10,855
11,60
11,218
11,312
11,428
11,483
11,522
11,571
11,635
11,650
11,656
11,658
11,702
11,704
11,753
11,759
11,770
11,792
11,870
11,927
11,955
12,15
12,28
12,116
12,167
12,372
12,400
12,465
12,516
12,518
12,613
12,843
13,55
13,61
13,118
13,215
13,239
13,268
13,357
13,364
13,426
13,429
13,554
13,630
13,640
13,694
13,775
13,809
13,860
13,883
13,931
13,936
13,957
13,977
14,78
14,249
14,270
14,342
14,503
14,582
14,594
14,795
15,28
15,149
15,167
15,201
15,289
15,372
15,400
15,453
15,465
15,516
15,518
15,613
15,674
15,843
16,206
16,313
16,500
16,633
16,732
16,893
17,62
17,156
17,212
17,354
17,544
17,643
17,663
17,735
17,749
17,997
18,122
18,220
18,247
18,402
18,678
18,909
19,297
19,328
19,368
19,411
19,424
19,478
19,487
19,628
20,101
20,102
20,129
20,218
20,237
20,308
20,312
20,367
20,397
20,398
20,428
20,635
20,639
20,650
20,666
20,704
20,745
20,753
20,759
20,912
20,955
20,988
21,24
21,92
21,320
21,413
21,610
21,623
21,626
21,651
21,750
21,765
21,793
21,813
21,874
22,124
22,127
22,238
22,292
22,293
22,393
22,494
22,501
22,561
22,834
22,871
22,911
22,941
22,991
23,32
23,170
23,255
23,352
23,599
23,873
23,966
23,996
24,92
24,320
24,413
24,610
24,626
24,651
24,750
24,765
24,793
25,27
25,32
25,59
25,191
25,526
25,599
25,646
25,799
25,810
25,828
25,923
25,962
26,132
26,144
26,269
26,364
26,426
26,444
26,722
26,730
26,758
26,789
26,931
26,987
27,51
27,108
27,122
27,191
27,295
27,337
27,402
27,599
27,602
27,678
27,699
27,773
27,787
27,799
27,816
27,854
27,909
27,923
27,937
27,962
27,971
27,985
28,149
28,151
28,274
28,343
28,372
28,400
28,405
28,465
28,516
28,518
28,613
28,842
28,843
28,847
28,885
29,435
29,517
29,652
29,662
30,72
30,120
30,128
30,140
30,193
30,197
30,258
30,403
30,407
30,447
30,661
30,733
30,791
30,824
30,889
31,67
31,107
31,148
31,152
31,262
31,309
31,358
31,521
31,530
31,588
31,686
31,816
32,108
32,170
32,255
32,334
32,352
32,599
32,799
32,828
32,873
32,966
32,996
33,200
33,417
33,449
33,514
33,652
33,877
34,145
34,150
34,245
34,281
34,390
34,450
34,508
34,623
34,654
34,688
34,813
34,895
34,898
35,153
35,284
35,306
35,326
35,339
35,351
35,366
35,387
35,476
35,527
35,532
35,543
35,546
35,604
35,711
35,733
35,750
35,793
35,797
35,907
35,944
35,976
36,84
36,113
36,168
36,177
36,183
36,266
36,776
37,128
37,257
37,339
37,407
37,476
37,532
37,543
37,604
37,661
37,733
37,791
37,824
37,825
37,884
37,920
37,968
38,62
38,88
38,154
38,211
38,370
38,506
38,587
38,643
38,741
39,53
39,83
39,139
39,460
39,489
39,539
39,618
39,623
39,626
39,739
39,790
39,972
40,73
40,166
40,254
40,538
40,540
40,580
40,712
40,769
40,831
40,850
40,890
40,992
41,79
41,316
41,430
41,446
41,473
41,496
41,906
42,57
42,77
42,141
42,172
42,209
42,228
42,246
42,329
42,345
42,432
42,523
42,609
42,612
42,647
42,673
42,718
42,779
42,796
42,876
42,967
43,220
43,304
43,318
43,480
43,659
43,848
43,882
43,909
44,65
44,84
44,96
44,113
44,177
44,182
44,188
44,266
44,310
44,323
44,332
44,420
44,513
44,611
44,614
44,616
44,710
44,738
44,776
44,853
45,50
45,54
45,121
45,207
45,336
45,400
45,410
45,465
45,641
45,682
45,837
46,59
46,191
46,269
46,458
46,547
46,646
46,681
46,758
46,799
46,878
46,923
46,987
47,169
47,202
47,237
47,301
47,355
47,469
47,570
47,617
47,677
47,713
47,897
47,981
47,994
48,63
48,297
48,408
48,424
48,448
48,478
48,628
48,696
48,774
48,880
49,169
49,278
49,301
49,317
49,335
49,355
49,422
49,598
49,617
49,621
49,768
49,838
49,897
50,54
50,121
50,207
50,236
50,336
50,400
50,410
50,516
50,641
50,682
50,837
51,67
51,97
51,106
51,148
51,265
51,295
51,337
51,402
51,509
51,531
51,588
51,678
51,787
51,854
51,971
52,79
52,112
52,143
52,194
52,199
52,248
52,272
52,379
52,437
52,475
52,541
52,551
52,649
52,815
52,823
52,892
52,906
52,942
53,83
53,460
53,489
53,539
53,618
53,739
53,972
53,978
54,94
54,121
54,165
54,179
54,207
54,236
54,261
54,359
54,410
54,562
54,572
54,625
54,641
54,692
54,837
55,61
55,380
55,412
55,473
55,716
55,835
55,849
55,851
55,860
55,883
55,951
56,156
56,205
56,280
56,433
56,495
56,511
56,529
56,663
56,754
56,868
56,925
56,961
57,63
57,81
57,141
57,173
57,209
57,213
57,228
57,246
57,285
57,345
57,432
57,533
57,568
57,647
57,764
57,779
57,807
57,876
57,967
58,133
58,163
58,249
58,276
58,325
58,466
58,503
58,507
58,536
58,582
58,668
58,736
58,784
58,858
58,928
58,943
58,999
59,526
59,646
59,681
59,799
59,810
60,146
60,218
60,225
60,232
60,286
60,296
60,308
60,340
60,428
60,437
60,479
60,522
60,524
60,528
60,636
60,650
60,656
60,658
60,704
60,725
60,759
60,763
60,770
60,815
60,870
60,904
60,927
60,955
61,118
61,160
61,186
61,630
61,835
61,851
61,860
61,881
61,883
61,936
61,957
62,211
62,354
62,506
62,643
62,741
62,749
63,134
63,213
63,408
63,424
63,448
63,533
63,665
63,696
63,774
63,807
63,880
64,77
64,172
64,228
64,329
64,425
64,462
64,499
64,500
64,523
64,591
64,627
64,647
64,673
64,718
64,723
64,732
64,747
64,783
64,796
64,876
64,915
64,956
64,998
65,84
65,113
65,177
65,188
65,266
65,310
65,332
65,420
65,581
65,710
65,776
65,853
66,160
66,473
66,549
66,630
66,637
66,729
66,818
66,835
66,860
66,881
67,108
67,148
67,309
67,365
67,455
67,509
67,521
67,588
67,602
67,699
67,709
67,787
67,816
67,971
68,123
68,149
68,151
68,167
68,201
68,230
68,307
68,421
68,771
68,781
68,808
68,842
68,885
68,949
69,339
69,378
69,385
69,387
69,389
69,452
69,476
69,546
69,711
69,733
69,791
69,825
69,907
69,920
69,976
69,993
70,89
70,124
70,158
70,195
70,219
70,224
70,562
70,625
70,757
70,861
70,899
70,984
70,986
71,248
71,288
71,347
71,399
71,510
71,520
71,576
71,584
71,667
71,742
71,763
71,806
71,822
71,896
71,912
72,91
72,128
72,197
72,235
72,258
72,271
72,313
72,403
72,404
72,407
72,431
72,447
72,644
72,661
72,698
72,752
72,826
73,93
73,361
73,406
73,559
73,563
73,580
73,712
73,746
73,769
73,821
73,833
73,852
73,865
73,879
73,890
73,969
74,319
74,374
74,378
74,385
74,387
74,389
74,452
74,472
74,546
74,711
74,743
74,825
74,866
75,229
75,260
75,263
75,314
75,322
75,419
75,423
75,445
75,454
75,597
75,671
75,674
75,724
75,744
75,748
75,780
75,788
75,910
75,958
76,119
76,184
76,349
76,603
76,668
76,928
77,172
77,228
77,246
77,252
77,287
77,329
77,432
77,462
77,499
77,523
77,568
77,609
77,627
77,647
77,673
77,718
77,747
77,783
77,796
77,876
77,956
77,967
78,249
78,270
78,342
78,503
78,582
78,594
78,795
78,995
79,143
79,194
79,379
79,446
79,551
79,657
79,886
79,892
79,906
80,100
80,631
80,706
81,131
81,173
81,209
81,213
81,345
81,348
81,533
81,665
81,701
81,764
81,807
81,967
82,137
82,171
82,175
82,342
82,382
82,597
82,606
82,690
82,751
82,801
82,864
82,908
82,922
82,958
82,995
83,353
83,436
83,457
83,460
83,471
83,489
83,566
83,739
83,972
83,978
84,113
84,168
84,177
84,182
84,183
84,190
84,266
84,310
84,332
84,492
84,611
84,634
84,675
84,710
84,776
84,853
84,900
85,123
85,151
85,167
85,201
85,307
85,443
85,519
85,590
85,731
85,771
85,885
85,933
85,949
86,148
86,242
86,259
86,262
86,292
86,293
86,358
86,501
86,586
86,592
86,603
86,834
86,999
87,178
87,282
87,350
87,373
87,442
87,587
87,595
87,607
87,687
87,740
87,811
87,940
87,946
87,948
87,989
88,154
88,442
88,587
88,719
88,760
88,778
88,867
88,940
89,219
89,224
89,461
89,562
89,572
89,625
89,757
89,861
89,899
90,155
90,196
90,222
90,354
90,380
90,412
90,629
90,632
90,672
90,734
90,782
90,914
90,982
91,128
91,235
91,258
91,271
91,313
91,404
91,431
91,619
91,644
91,698
91,752
91,826
91,884
92,413
92,610
92,651
92,750
92,813
92,874
93,136
93,214
93,254
93,303
93,361
93,468
93,488
93,515
93,608
93,685
93,721
93,821
93,833
93,852
93,890
93,901
93,964
94,165
94,179
94,261
94,359
94,562
94,572
94,625
94,692
94,837
94,861
94,899
94,929
95,243
95,273
95,298
95,327
95,331
95,338
95,409
95,464
95,538
95,563
95,580
95,645
95,756
95,762
95,769
95,865
95,879
95,930
95,969
96,119
96,125
96,126
96,534
96,581
96,614
96,616
96,738
97,106
97,148
97,265
97,293
97,295
97,337
97,509
97,531
97,600
97,678
97,787
97,854
98,206
98,394
98,425
98,456
98,633
98,723
98,732
98,893
98,998
99,223
99,279
99,417
99,517
99,652
99,662
99,768
100,631
100,701
100,706
101,102
101,129
101,227
101,237
101,312
101,367
101,558
101,565
101,570
101,574
101,650
101,702
101,704
101,830
101,965
101,988
101,994
102,129
102,227
102,237
102,324
102,367
102,558
102,565
102,570
102,574
102,650
102,666
102,677
102,830
102,896
102,988
102,994
103,180
103,418
103,691
103,717
103,772
103,839
103,856
104,111
104,427
104,480
104,986
105,111
105,192
105,362
105,369
105,480
105,600
105,728
105,938
106,174
106,295
106,318
106,337
106,362
106,531
106,909
106,926
107,119
107,125
107,152
107,267
107,309
107,349
107,365
107,521
107,530
107,614
107,616
107,686
107,703
107,902
108,122
108,170
108,191
108,255
108,309
108,334
108,365
108,402
108,521
108,588
108,599
108,602
108,655
108,678
108,699
108,709
108,773
108,799
108,816
108,873
108,937
108,966
108,971
108,985
108,996
109,114
109,146
109,164
109,225
109,253
109,340
109,524
109,573
109,636
109,725
109,798
109,815
109,904
110,155
110,212
110,567
110,670
110,734
110,749
110,782
111,192
111,302
111,362
111,427
111,480
111,728
111,785
111,984
111,986
112,272
112,551
112,886
112,892
112,906
113,168
113,177
113,182
113,183
113,184
113,188
113,266
113,310
113,332
113,333
113,384
113,463
113,535
113,577
113,581
113,615
113,710
113,761
113,776
113,853
114,194
114,225
114,282
114,311
114,340
114,341
114,350
114,388
114,475
114,477
114,524
114,528
114,551
114,573
114,596
114,636
114,697
114,716
114,798
114,805
114,815
114,841
114,904
114,945
114,947
114,951
115,278
115,335
115,383
115,555
115,598
115,621
115,766
115,872
115,887
115,952
116,161
116,203
116,244
116,274
116,291
116,326
116,351
116,371
116,400
116,405
116,415
116,467
116,593
116,680
116,797
116,847
116,944
117,202
117,395
117,517
117,583
117,638
117,652
117,662
117,683
117,713
118,160
118,186
118,220
118,247
118,256
118,357
118,364
118,377
118,444
118,458
118,689
118,809
118,903
118,936
119,125
119,188
119,323
119,349
119,535
119,581
119,614
119,738
119,902
120,140
120,185
120,193
120,447
120,856
120,863
120,889
121,179
121,207
121,236
121,261
121,336
121,400
121,410
121,562
121,641
121,682
121,692
121,837
121,899
122,247
122,402
122,678
122,909
122,937
123,149
123,151
123,167
123,201
123,307
123,443
123,519
123,590
123,731
123,771
123,842
123,885
123,933
124,158
124,195
124,238
124,393
124,461
124,871
124,911
124,984
125,126
125,188
125,323
125,581
125,614
125,616
125,738
125,902
126,130
126,267
126,513
126,525
126,534
126,564
126,578
126,581
126,614
126,616
126,648
126,655
126,738
127,138
127,216
127,231
127,240
127,242
127,293
127,321
127,356
127,494
127,501
127,561
127,586
127,624
127,751
127,953
127,970
128,197
128,235
128,257
128,258
128,271
128,313
128,403
128,404
128,407
128,431
128,447
128,476
128,532
128,543
128,619
128,644
128,661
128,698
128,733
128,752
128,791
128,824
128,826
128,884
128,920
129,227
129,237
129,558
129,565
129,570
129,715
129,830
129,965
129,988
129,994
130,534
130,564
130,578
130,648
131,348
131,701
131,807
132,144
132,269
132,364
132,426
132,444
132,722
132,730
132,758
132,789
132,931
133,259
133,325
133,349
133,603
